26343;SOUSPIERRE;26160;;SOUSPIERRE;44.538637467,4.967476258
27106;BOURNAINVILLE FAVEROLLES;27230;;BOURNAINVILLE FAVEROLLES;49.122964486,0.5004978840000001
02157;CHAMBRY;02000;;CHAMBRY;49.598625529,3.671806573
26350;TEYSSIERES;26220;;TEYSSIERES;44.4575677,5.14297436
27106;BOURNAINVILLE FAVEROLLES;27230;FAVEROLLES LES MARES;BOURNAINVILLE FAVEROLLES;49.122964486,0.5004978840000001
02165;CHARMES;02800;;CHARMES;49.650915124,3.384799677
26358;UPIE;26120;;UPIE;44.79910558,4.980109562
27108;BOURTH;27580;;BOURTH;48.763343046,0.805963651
02173;CHAUNY;02300;;CHAUNY;49.619538899,3.219139283
26364;VASSIEUX EN VERCORS;26420;;VASSIEUX EN VERCORS;44.880572699,5.374045609
27112;BRETEUIL;27160;CINTRAY;BRETEUIL;48.82647523,0.8926102610000001
02191;CHIVY LES ETOUVELLES;02000;;CHIVY LES ETOUVELLES;49.532848303,3.585053697
26371;VERONNE;26340;;VERONNE;44.73641581,5.206938788
27133;CAUMONT;27310;;CAUMONT;49.367133625,0.9076812420000001
02199;CLASTRES;02440;;CLASTRES;49.749158544,3.230539083
26381;JAILLANS;26300;;JAILLANS;45.029350708,5.169666179
27138;CHAMBLAC;27270;BOSC MOREL;CHAMBLAC;48.99262414,0.562909255
02207;COMMENCHON;02300;;COMMENCHON;49.64183436,3.150796615
27005;AILLY;27600;;AILLY;49.158098248,1.244404254
27147;LA CHAPELLE DU BOIS DES FAULX;27930;;LA CHAPELLE DU BOIS DES FAULX;49.109312818,1.170694094
02215;CORBENY;02820;;CORBENY;49.462187395,3.826504384
27017;ANGERVILLE LA CAMPAGNE;27930;;ANGERVILLE LA CAMPAGNE;48.988819076,1.157414318
27158;CIERREY;27930;;CIERREY;49.001959247,1.266781494
02228;COURTEMONT VARENNES;02850;;COURTEMONT VARENNES;49.071642676,3.541745045
27021;ASNIERES;27260;;ASNIERES;49.204918232,0.402272778
27165;CONCHES EN OUCHE;27190;;CONCHES EN OUCHE;48.954695406,0.9320137070000001
02238;CREPY;02870;;CREPY;49.608292989,3.512045015
27028;AUTHOU;27290;;AUTHOU;49.225779947,0.6973308570000001
27168;CONNELLES;27430;;CONNELLES;49.26031693,1.276330374
02242;CROUTTES SUR MARNE;02310;;CROUTTES SUR MARNE;48.979658946,3.247232276
27037;BARC;27170;;BARC;49.079599373,0.824625668
27189;LA CROISILLE;27190;;LA CROISILLE;48.990756697,0.9757475630000001
02257;DALLON;02680;;DALLON;49.823968114,3.230286871
27040;BARQUET;27170;;BARQUET;49.039591261,0.8538442730000001
27198;MESNILS SUR ITON;27240;BOISSY SUR DAMVILLE;MESNILS SUR ITON;48.848498895,1.05233504
02265;DOHIS;02360;;DOHIS;49.766840691,4.141910835
27053;LE BEC THOMAS;27370;;LE BEC THOMAS;49.238582539,0.9759444610000001
27198;MESNILS SUR ITON;27240;LE RONCENAY;MESNILS SUR ITON;48.848498895,1.05233504
02272;DROIZY;02210;;DROIZY;49.276869729,3.389239518
27062;LES MONTS DU ROUMOIS;27520;BOSGUERARD DE MARCOUVILLE;LES MONTS DU ROUMOIS;49.27651548,0.835570424
27202;DAUBEUF PRES VATTEVILLE;27430;;DAUBEUF PRES VATTEVILLE;49.260180565,1.311265255
02279;EPAUX BEZU;02400;;EPAUX BEZU;49.103087466,3.353753745
27085;FLANCOURT CRESCY EN ROUMOIS;27310;BOSC BENARD CRESCY;FLANCOURT CRESCY EN ROUMOIS;49.324109795,0.775105488
27213;VEXIN SUR EPTE;27510;TOURNY;VEXIN SUR EPTE;49.180317892,1.58166927
02288;ESSIGNY LE PETIT;02100;;ESSIGNY LE PETIT;49.896372232,3.367353542
27090;BOSROUMOIS;27670;LE BOSC ROGER EN ROUMOIS;BOSROUMOIS;49.289300303,0.9188751220000001
27229;EVREUX;27000;;EVREUX;49.019784589,1.141523589
02295;ETREAUPONT;02580;;ETREAUPONT;49.896046329,3.923522553
27101;BOUQUELON;27500;;BOUQUELON;49.398883182,0.491510019
27231;FAINS;27120;;FAINS;48.996930065,1.384719662
02305;FERE EN TARDENOIS;02130;;FERE EN TARDENOIS;49.187277312,3.511007738
27112;BRETEUIL;27160;BRETEUIL SUR ITON;BRETEUIL;48.82647523,0.8926102610000001
27237;LE FAVRIL;27230;;LE FAVRIL;49.182917298,0.5248634999999999
02318;FOLEMBRAY;02670;;FOLEMBRAY;49.548888381,3.29298586
27118;BROSVILLE;27930;;BROSVILLE;49.109877574,1.113647391
27246;FLEURY SUR ANDELLE;27380;;FLEURY SUR ANDELLE;49.363933274,1.352269481
02349;GOUDELANCOURT LES BERRIEUX;02820;;GOUDELANCOURT LES BERRIEUX;49.494766075,3.85877033
27120;BUREY;27190;;BUREY;48.991833713,0.944281443
27276;GAMACHES EN VEXIN;27150;;GAMACHES EN VEXIN;49.266634902,1.615776375
02352;GOUY;02420;;GOUY;49.998674251,3.264698012
27126;CAMPIGNY;27500;;CAMPIGNY;49.31810408,0.561720867
27294;VAL D ORGER;27440;GAILLARDBOIS CRESSENVILLE;VAL D ORGER;49.341356551,1.388564813
02379;LE HERIE LA VIEVILLE;02120;;LE HERIE LA VIEVILLE;49.822170121,3.65430944
27138;CHAMBLAC;27270;;CHAMBLAC;48.99262414,0.562909255
27312;HARDENCOURT COCHEREL;27120;;HARDENCOURT COCHEREL;49.042220587,1.316534681
02392;JONCOURT;02420;;JONCOURT;49.960319763,3.3041557790000002
27144;CHAMPIGNY LA FUTELAYE;27220;;CHAMPIGNY LA FUTELAYE;48.869182476,1.299960312
27319;LA HAYE DE ROUTOT;27350;;LA HAYE DE ROUTOT;49.403420875,0.727598744
02411;LATILLY;02210;;LATILLY;49.15390518,3.311849174
27156;CHERONVILLIERS;27250;;CHERONVILLIERS;48.792601974,0.7610173330000001
27323;LA HAYE ST SYLVESTRE;27330;;LA HAYE ST SYLVESTRE;48.911209534,0.594088326
02417;LEMPIRE;02420;;LEMPIRE;49.994081474,3.174521128
27157;MARBOIS;27240;LES ESSARTS;MARBOIS;48.88208544,0.965668297
27331;HEUBECOURT HARICOURT;27630;HARICOURT;HEUBECOURT HARICOURT;49.130163402,1.563983698
02428;LICY CLIGNON;02810;;LICY CLIGNON;49.101907786,3.264399972
27176;COUDRAY;27150;;COUDRAY;49.343652488000004,1.4966923840000002
27345;LA HOUSSAYE;27410;;LA HOUSSAYE;48.997704574,0.8006154860000001
02439;LES SEPTVALLONS;02160;GLENNES;LES SEPTVALLONS;49.355509724,3.653403263
27185;CRESTOT;27110;;CRESTOT;49.20469657,0.9693104760000001
27353;IRREVILLE;27930;;IRREVILLE;49.0983198,1.199521414
02439;LES SEPTVALLONS;02160;PERLES;LES SEPTVALLONS;49.355509724,3.653403263
27198;MESNILS SUR ITON;27240;BUIS SUR DAMVILLE;MESNILS SUR ITON;48.848498895,1.05233504
27370;LISORS;27440;;LISORS;49.358363224,1.473245512
02458;DHUYS ET MORIN EN BRIE;02540;FONTENELLE EN BRIE;DHUYS ET MORIN EN BRIE;48.905402633,3.506167879
27198;MESNILS SUR ITON;27240;GRANDVILLIERS;MESNILS SUR ITON;48.848498895,1.05233504
27373;LORLEAU;27480;;LORLEAU;49.421271009,1.5045135699999999
02463;MARFONTAINE;02140;;MARFONTAINE;49.80753818,3.763589709
27198;MESNILS SUR ITON;27240;LES MINIERES;MESNILS SUR ITON;48.848498895,1.05233504
27390;MARCILLY LA CAMPAGNE;27320;;MARCILLY LA CAMPAGNE;48.827199082,1.187925943
02477;MERCIN ET VAUX;02200;;MERCIN ET VAUX;49.370904659,3.270105437
27201;DAUBEUF LA CAMPAGNE;27110;;DAUBEUF LA CAMPAGNE;49.188850701,1.030115008
27392;MARTAGNY;27150;;MARTAGNY;49.395330424,1.657336997
02481;MESNIL ST LAURENT;02720;;MESNIL ST LAURENT;49.829108064,3.3644125750000002
27210;ECARDENVILLE LA CAMPAGNE;27170;;ECARDENVILLE LA CAMPAGNE;49.124339557,0.8345185730000001
27399;MERCEY;27950;;MERCEY;49.082836347,1.398541716
02485;MISSY AUX BOIS;02200;;MISSY AUX BOIS;49.335246711,3.246829602
27213;VEXIN SUR EPTE;27630;FOURS EN VEXIN;VEXIN SUR EPTE;49.180317892,1.58166927
27412;TERRES DE BORD;27400;MONTAURE;TERRES DE BORD;49.246860022,1.106684809
02490;MONAMPTEUIL;02000;;MONAMPTEUIL;49.475773649,3.572850272
27230;EZY SUR EURE;27530;;EZY SUR EURE;48.871302766,1.411650117
27419;MOUETTES;27220;;MOUETTES;48.889511847,1.367546912
02508;MONTHENAULT;02860;;MONTHENAULT;49.489769799,3.655508134
27241;FEUGUEROLLES;27110;;FEUGUEROLLES;49.132486888,1.034384045
27438;NONANCOURT;27320;;NONANCOURT;48.777898637,1.177121439
02514;MONTIGNY LENGRAIN;02290;;MONTIGNY LENGRAIN;49.372578828,3.099063795
27271;FRESNEY;27220;;FRESNEY;48.947484576,1.306042611
